it,step_length,step_norm,obj,fx
37,1.387778780781445676e-17,8.676496633003176006e-20,1.742406377628546554e+00,1.742406377628546554e+00
38,6.938893903907228378e-18,4.338248316501588003e-20,1.742406377628546554e+00,1.742406377628546554e+00
39,3.469446951953614189e-18,2.169124158250794002e-20,1.742406377628546554e+00,1.742406377628546554e+00
40,1.734723475976807094e-18,1.084562079125397001e-20,1.742406377628546554e+00,1.742406377628546554e+00
41,8.673617379884035472e-19,5.422810395626985004e-21,1.742406377628546554e+00,1.742406377628546554e+00
42,4.336808689942017736e-19,2.711405197813492502e-21,1.742406377628546554e+00,1.742406377628546554e+00
43,2.168404344971008868e-19,1.355702598906746251e-21,1.742406377628546554e+00,1.742406377628546554e+00
44,1.084202172485504434e-19,6.778512994533731255e-22,1.742406377628546554e+00,1.742406377628546554e+00
45,5.421010862427522170e-20,3.389256497266865627e-22,1.742406377628546554e+00,1.742406377628546554e+00
46,2.710505431213761085e-20,1.694628248633432814e-22,1.742406377628546554e+00,1.742406377628546554e+00
47,1.355252715606880543e-20,8.473141243167164069e-23,1.742406377628546554e+00,1.742406377628546554e+00
48,6.776263578034402713e-21,4.236570621583582034e-23,1.742406377628546554e+00,1.742406377628546554e+00
49,3.388131789017201356e-21,2.118285310791791017e-23,1.742406377628546554e+00,1.742406377628546554e+00
50,1.694065894508600678e-21,1.059142655395895509e-23,1.742406377628546554e+00,1.742406377628546554e+00
51,8.470329472543003391e-22,5.295713276979477543e-24,1.742406377628546554e+00,1.742406377628546554e+00
52,4.235164736271501695e-22,2.647856638489738771e-24,1.742406377628546554e+00,1.742406377628546554e+00
53,2.117582368135750848e-22,1.323928319244869386e-24,1.742406377628546554e+00,1.742406377628546554e+00
54,1.058791184067875424e-22,6.619641596224346929e-25,1.742406377628546554e+00,1.742406377628546554e+00
55,5.293955920339377119e-23,3.309820798112173464e-25,1.742406377628546554e+00,1.742406377628546554e+00
56,2.646977960169688560e-23,1.654910399056086732e-25,1.742406377628546554e+00,1.742406377628546554e+00
57,1.323488980084844280e-23,8.274551995280433661e-26,1.742406377628546554e+00,1.742406377628546554e+00
58,6.617444900424221399e-24,4.137275997640216830e-26,1.742406377628546554e+00,1.742406377628546554e+00
59,3.308722450212110699e-24,2.068637998820108415e-26,1.742406377628546554e+00,1.742406377628546554e+00
60,1.654361225106055350e-24,1.034318999410054208e-26,1.742406377628546554e+00,1.742406377628546554e+00
61,8.271806125530276749e-25,5.171594997050271038e-27,1.742406377628546554e+00,1.742406377628546554e+00
62,4.135903062765138374e-25,2.585797498525135519e-27,1.742406377628546554e+00,1.742406377628546554e+00
63,2.067951531382569187e-25,1.292898749262567760e-27,1.742406377628546554e+00,1.742406377628546554e+00
64,1.033975765691284594e-25,6.464493746312838798e-28,1.742406377628546554e+00,1.742406377628546554e+00
65,5.169878828456422968e-26,3.232246873156419399e-28,1.742406377628546554e+00,1.742406377628546554e+00
66,2.584939414228211484e-26,1.616123436578209699e-28,1.742406377628546554e+00,1.742406377628546554e+00
67,1.292469707114105742e-26,8.080617182891048497e-29,1.742406377628546554e+00,1.742406377628546554e+00
68,6.462348535570528710e-27,4.040308591445524248e-29,1.742406377628546554e+00,1.742406377628546554e+00
69,3.231174267785264355e-27,2.020154295722762124e-29,1.742406377628546554e+00,1.742406377628546554e+00
70,1.615587133892632177e-27,1.010077147861381062e-29,1.742406377628546554e+00,1.742406377628546554e+00
71,8.077935669463160887e-28,5.050385739306905311e-30,1.742406377628546554e+00,1.742406377628546554e+00
72,4.038967834731580444e-28,2.525192869653452655e-30,1.742406377628546554e+00,1.742406377628546554e+00
73,2.019483917365790222e-28,1.262596434826726328e-30,1.742406377628546554e+00,1.742406377628546554e+00
74,1.009741958682895111e-28,6.312982174133631638e-31,1.742406377628546554e+00,1.742406377628546554e+00
75,5.048709793414475555e-29,3.156491087066815819e-31,1.742406377628546554e+00,1.742406377628546554e+00
76,2.524354896707237777e-29,1.578245543533407910e-31,1.742406377628546554e+00,1.742406377628546554e+00
77,1.262177448353618889e-29,7.891227717667039548e-32,1.742406377628546554e+00,1.742406377628546554e+00
78,6.310887241768094443e-30,3.945613858833519774e-32,1.742406377628546554e+00,1.742406377628546554e+00
79,3.155443620884047222e-30,1.972806929416759887e-32,1.742406377628546554e+00,1.742406377628546554e+00
80,1.577721810442023611e-30,9.864034647083799435e-33,1.742406377628546554e+00,1.742406377628546554e+00
81,7.888609052210118054e-31,4.932017323541899717e-33,1.742406377628546554e+00,1.742406377628546554e+00
82,3.944304526105059027e-31,2.466008661770949859e-33,1.742406377628546554e+00,1.742406377628546554e+00
83,1.972152263052529514e-31,1.233004330885474929e-33,1.742406377628546554e+00,1.742406377628546554e+00
84,9.860761315262647568e-32,6.165021654427374647e-34,1.742406377628546554e+00,1.742406377628546554e+00
85,4.930380657631323784e-32,3.082510827213687323e-34,1.742406377628546554e+00,1.742406377628546554e+00
86,2.465190328815661892e-32,1.541255413606843662e-34,1.742406377628546554e+00,1.742406377628546554e+00
87,1.232595164407830946e-32,7.706277068034218308e-35,1.742406377628546554e+00,1.742406377628546554e+00
88,6.162975822039154730e-33,3.853138534017109154e-35,1.742406377628546554e+00,1.742406377628546554e+00
89,3.081487911019577365e-33,1.926569267008554577e-35,1.742406377628546554e+00,1.742406377628546554e+00
90,1.540743955509788682e-33,9.632846335042772885e-36,1.742406377628546554e+00,1.742406377628546554e+00
91,7.703719777548943412e-34,4.816423167521386443e-36,1.742406377628546554e+00,1.742406377628546554e+00
92,3.851859888774471706e-34,2.408211583760693221e-36,1.742406377628546554e+00,1.742406377628546554e+00
93,1.925929944387235853e-34,1.204105791880346611e-36,1.742406377628546554e+00,1.742406377628546554e+00
94,9.629649721936179265e-35,6.020528959401733053e-37,1.742406377628546554e+00,1.742406377628546554e+00
95,4.814824860968089633e-35,3.010264479700866527e-37,1.742406377628546554e+00,1.742406377628546554e+00
96,2.407412430484044816e-35,1.505132239850433263e-37,1.742406377628546554e+00,1.742406377628546554e+00
97,1.203706215242022408e-35,7.525661199252166317e-38,1.742406377628546554e+00,1.742406377628546554e+00
98,6.018531076210112041e-36,3.762830599626083158e-38,1.742406377628546554e+00,1.742406377628546554e+00
99,3.009265538105056020e-36,1.881415299813041579e-38,1.742406377628546554e+00,1.742406377628546554e+00
100,1.504632769052528010e-36,9.407076499065207896e-39,1.742406377628546554e+00,1.742406377628546554e+00
101,7.523163845262640051e-37,4.703538249532603948e-39,1.742406377628546554e+00,1.742406377628546554e+00
102,3.761581922631320025e-37,2.351769124766301974e-39,1.742406377628546554e+00,1.742406377628546554e+00
103,1.880790961315660013e-37,1.175884562383150987e-39,1.742406377628546554e+00,1.742406377628546554e+00
104,9.403954806578300064e-38,5.879422811915754935e-40,1.742406377628546554e+00,1.742406377628546554e+00
105,4.701977403289150032e-38,2.939711405957877467e-40,1.742406377628546554e+00,1.742406377628546554e+00
106,2.350988701644575016e-38,1.469855702978938734e-40,1.742406377628546554e+00,1.742406377628546554e+00
107,1.175494350822287508e-38,7.349278514894693669e-41,1.742406377628546554e+00,1.742406377628546554e+00
108,5.877471754111437540e-39,3.674639257447346834e-41,1.742406377628546554e+00,1.742406377628546554e+00
109,2.938735877055718770e-39,1.837319628723673417e-41,1.742406377628546554e+00,1.742406377628546554e+00
110,1.469367938527859385e-39,9.186598143618367086e-42,1.742406377628546554e+00,1.742406377628546554e+00
111,7.346839692639296925e-40,4.593299071809183543e-42,1.742406377628546554e+00,1.742406377628546554e+00
112,3.673419846319648462e-40,2.296649535904591771e-42,1.742406377628546554e+00,1.742406377628546554e+00
113,1.836709923159824231e-40,1.148324767952295886e-42,1.742406377628546554e+00,1.742406377628546554e+00
114,9.183549615799121156e-41,5.741623839761479429e-43,1.742406377628546554e+00,1.742406377628546554e+00
115,4.591774807899560578e-41,2.870811919880739714e-43,1.742406377628546554e+00,1.742406377628546554e+00
116,2.295887403949780289e-41,1.435405959940369857e-43,1.742406377628546554e+00,1.742406377628546554e+00
117,1.147943701974890145e-41,7.177029799701849286e-44,1.742406377628546554e+00,1.742406377628546554e+00
118,5.739718509874450723e-42,3.588514899850924643e-44,1.742406377628546554e+00,1.742406377628546554e+00
119,2.869859254937225361e-42,1.794257449925462321e-44,1.742406377628546554e+00,1.742406377628546554e+00
120,1.434929627468612681e-42,8.971287249627311607e-45,1.742406377628546554e+00,1.742406377628546554e+00
121,7.174648137343063403e-43,4.485643624813655804e-45,1.742406377628546554e+00,1.742406377628546554e+00
122,3.587324068671531702e-43,2.242821812406827902e-45,1.742406377628546554e+00,1.742406377628546554e+00
123,1.793662034335765851e-43,1.121410906203413951e-45,1.742406377628546554e+00,1.742406377628546554e+00
124,8.968310171678829254e-44,5.607054531017069755e-46,1.742406377628546554e+00,1.742406377628546554e+00
125,4.484155085839414627e-44,2.803527265508534877e-46,1.742406377628546554e+00,1.742406377628546554e+00
126,2.242077542919707313e-44,1.401763632754267439e-46,1.742406377628546554e+00,1.742406377628546554e+00
127,1.121038771459853657e-44,7.008818163771337193e-47,1.742406377628546554e+00,1.742406377628546554e+00
128,5.605193857299268284e-45,3.504409081885668597e-47,1.742406377628546554e+00,1.742406377628546554e+00
129,2.802596928649634142e-45,1.752204540942834298e-47,1.742406377628546554e+00,1.742406377628546554e+00
130,1.401298464324817071e-45,8.761022704714171492e-48,1.742406377628546554e+00,1.742406377628546554e+00
131,7.006492321624085355e-46,4.380511352357085746e-48,1.742406377628546554e+00,1.742406377628546554e+00
132,3.503246160812042677e-46,2.190255676178542873e-48,1.742406377628546554e+00,1.742406377628546554e+00
133,1.751623080406021339e-46,1.095127838089271436e-48,1.742406377628546554e+00,1.742406377628546554e+00
134,8.758115402030106693e-47,5.475639190446357182e-49,1.742406377628546554e+00,1.742406377628546554e+00
135,4.379057701015053347e-47,2.737819595223178591e-49,1.742406377628546554e+00,1.742406377628546554e+00
136,2.189528850507526673e-47,1.368909797611589296e-49,1.742406377628546554e+00,1.742406377628546554e+00
137,1.094764425253763337e-47,6.844548988057946478e-50,1.742406377628546554e+00,1.742406377628546554e+00
138,5.473822126268816683e-48,3.422274494028973239e-50,1.742406377628546554e+00,1.742406377628546554e+00
139,2.736911063134408342e-48,1.711137247014486619e-50,1.742406377628546554e+00,1.742406377628546554e+00
140,1.368455531567204171e-48,8.555686235072433097e-51,1.742406377628546554e+00,1.742406377628546554e+00
141,6.842277657836020854e-49,4.277843117536216549e-51,1.742406377628546554e+00,1.742406377628546554e+00
142,3.421138828918010427e-49,2.138921558768108274e-51,1.742406377628546554e+00,1.742406377628546554e+00
143,1.710569414459005214e-49,1.069460779384054137e-51,1.742406377628546554e+00,1.742406377628546554e+00
144,8.552847072295026068e-50,5.347303896920270686e-52,1.742406377628546554e+00,1.742406377628546554e+00
145,4.276423536147513034e-50,2.673651948460135343e-52,1.742406377628546554e+00,1.742406377628546554e+00
146,2.138211768073756517e-50,1.336825974230067671e-52,1.742406377628546554e+00,1.742406377628546554e+00
147,1.069105884036878258e-50,6.684129871150338357e-53,1.742406377628546554e+00,1.742406377628546554e+00
148,5.345529420184391292e-51,3.342064935575169179e-53,1.742406377628546554e+00,1.742406377628546554e+00
149,2.672764710092195646e-51,1.671032467787584589e-53,1.742406377628546554e+00,1.742406377628546554e+00
150,1.336382355046097823e-51,8.355162338937922946e-54,1.742406377628546554e+00,1.742406377628546554e+00
