Iterations,Velocity,Newton Energy,Gradient Energy,Gradient Mass Energy,Newton Direction L2,Newton Direction Linf,Newton Direction Mass Norm
2,1.09E-05,1.07E-14,2.44E-14,6.04E-14,4.89E-15,5.13E-08,1.43E-14
2,1.08E-05,1.05E-14,2.36E-14,5.85E-14,4.86E-15,5.18E-08,1.43E-14
2,1.07E-05,1.02E-14,2.27E-14,5.65E-14,4.81E-15,5.22E-08,1.42E-14
2,1.05E-05,9.96E-15,2.19E-14,5.45E-14,4.75E-15,5.25E-08,1.41E-14
2,1.04E-05,9.68E-15,2.10E-14,5.25E-14,4.68E-15,5.27E-08,1.40E-14
2,1.02E-05,9.38E-15,2.00E-14,5.05E-14,4.60E-15,5.28E-08,1.39E-14
2,1.00E-05,9.07E-15,1.91E-14,4.84E-14,4.51E-15,5.29E-08,1.37E-14
2,9.83E-06,8.74E-15,1.82E-14,4.64E-14,4.40E-15,5.29E-08,1.35E-14
2,9.63E-06,8.41E-15,1.72E-14,4.43E-14,4.29E-15,5.28E-08,1.33E-14
2,9.43E-06,8.06E-15,1.63E-14,4.23E-14,4.17E-15,5.26E-08,1.31E-14
2,9.21E-06,7.71E-15,1.53E-14,4.02E-14,4.05E-15,5.23E-08,1.28E-14
2,8.99E-06,7.35E-15,1.44E-14,3.82E-14,3.91E-15,5.20E-08,1.25E-14
2,8.75E-06,6.99E-15,1.35E-14,3.63E-14,3.77E-15,5.15E-08,1.22E-14
2,8.51E-06,6.63E-15,1.26E-14,3.43E-14,3.62E-15,5.10E-08,1.18E-14
2,8.27E-06,6.26E-15,1.18E-14,3.24E-14,3.47E-15,5.03E-08,1.14E-14
2,8.01E-06,5.90E-15,1.09E-14,3.06E-14,3.32E-15,4.96E-08,1.10E-14
2,7.76E-06,5.54E-15,1.01E-14,2.87E-14,3.16E-15,4.88E-08,1.06E-14
2,7.49E-06,5.19E-15,9.35E-15,2.69E-14,2.99E-15,4.78E-08,1.02E-14
2,7.22E-06,4.84E-15,8.60E-15,2.52E-14,2.83E-15,4.68E-08,9.73E-15
2,6.95E-06,4.50E-15,7.88E-15,2.35E-14,2.66E-15,4.57E-08,9.25E-15
2,6.67E-06,4.17E-15,7.20E-15,2.18E-14,2.50E-15,4.45E-08,8.77E-15
2,6.39E-06,3.85E-15,6.56E-15,2.02E-14,2.33E-15,4.32E-08,8.27E-15
2,6.10E-06,3.53E-15,5.95E-15,1.87E-14,2.16E-15,4.19E-08,7.76E-15
2,5.81E-06,3.23E-15,5.38E-15,1.72E-14,2.00E-15,4.04E-08,7.25E-15
2,5.52E-06,2.95E-15,4.84E-15,1.57E-14,1.84E-15,3.89E-08,6.74E-15
2,5.23E-06,2.67E-15,4.34E-15,1.43E-14,1.69E-15,3.73E-08,6.22E-15
2,4.94E-06,2.41E-15,3.87E-15,1.30E-14,1.54E-15,3.56E-08,5.71E-15
2,4.64E-06,2.16E-15,3.44E-15,1.18E-14,1.39E-15,3.38E-08,5.21E-15
2,4.35E-06,1.93E-15,3.04E-15,1.06E-14,1.25E-15,3.20E-08,4.72E-15
2,4.05E-06,1.71E-15,2.68E-15,9.44E-15,1.12E-15,3.01E-08,4.24E-15
2,3.76E-06,1.51E-15,2.34E-15,8.38E-15,9.88E-16,2.81E-08,3.77E-15
