Iterations,Velocity,Newton Energy,Gradient Energy,Gradient Mass Energy,Newton Direction L2,Newton Direction Linf,Newton Direction Mass Norm
2,1.09E-05,1.03E-07,1.56E-07,2.46E-07,7.00E-08,5.13E-08,1.20E-07
2,1.08E-05,1.02E-07,1.54E-07,2.42E-07,6.97E-08,5.18E-08,1.19E-07
2,1.07E-05,1.01E-07,1.51E-07,2.38E-07,6.93E-08,5.22E-08,1.19E-07
2,1.05E-05,9.98E-08,1.48E-07,2.34E-07,6.89E-08,5.25E-08,1.19E-07
2,1.04E-05,9.84E-08,1.45E-07,2.29E-07,6.84E-08,5.27E-08,1.18E-07
2,1.02E-05,9.69E-08,1.42E-07,2.25E-07,6.78E-08,5.28E-08,1.18E-07
2,1.00E-05,9.52E-08,1.38E-07,2.20E-07,6.71E-08,5.29E-08,1.17E-07
2,9.83E-06,9.35E-08,1.35E-07,2.15E-07,6.64E-08,5.29E-08,1.16E-07
2,9.63E-06,9.17E-08,1.31E-07,2.10E-07,6.55E-08,5.28E-08,1.15E-07
2,9.43E-06,8.98E-08,1.28E-07,2.06E-07,6.46E-08,5.26E-08,1.14E-07
2,9.21E-06,8.78E-08,1.24E-07,2.01E-07,6.36E-08,5.23E-08,1.13E-07
2,8.99E-06,8.57E-08,1.20E-07,1.96E-07,6.26E-08,5.20E-08,1.12E-07
2,8.75E-06,8.36E-08,1.16E-07,1.90E-07,6.14E-08,5.15E-08,1.10E-07
2,8.51E-06,8.14E-08,1.12E-07,1.85E-07,6.02E-08,5.10E-08,1.09E-07
2,8.27E-06,7.91E-08,1.09E-07,1.80E-07,5.89E-08,5.03E-08,1.07E-07
2,8.01E-06,7.68E-08,1.05E-07,1.75E-07,5.76E-08,4.96E-08,1.05E-07
2,7.76E-06,7.44E-08,1.01E-07,1.69E-07,5.62E-08,4.88E-08,1.03E-07
2,7.49E-06,7.20E-08,9.67E-08,1.64E-07,5.47E-08,4.78E-08,1.01E-07
2,7.22E-06,6.96E-08,9.27E-08,1.59E-07,5.32E-08,4.68E-08,9.86E-08
2,6.95E-06,6.71E-08,8.88E-08,1.53E-07,5.16E-08,4.57E-08,9.62E-08
2,6.67E-06,6.46E-08,8.49E-08,1.48E-07,5.00E-08,4.45E-08,9.36E-08
2,6.39E-06,6.20E-08,8.10E-08,1.42E-07,4.83E-08,4.32E-08,9.09E-08
2,6.10E-06,5.94E-08,7.71E-08,1.37E-07,4.65E-08,4.19E-08,8.81E-08
2,5.81E-06,5.69E-08,7.33E-08,1.31E-07,4.47E-08,4.04E-08,8.52E-08
2,5.52E-06,5.43E-08,6.96E-08,1.25E-07,4.29E-08,3.89E-08,8.21E-08
2,5.23E-06,5.17E-08,6.59E-08,1.20E-07,4.11E-08,3.73E-08,7.89E-08
2,4.94E-06,4.91E-08,6.22E-08,1.14E-07,3.92E-08,3.56E-08,7.56E-08
2,4.64E-06,4.65E-08,5.86E-08,1.08E-07,3.73E-08,3.38E-08,7.22E-08
2,4.35E-06,4.39E-08,5.51E-08,1.03E-07,3.53E-08,3.20E-08,6.87E-08
